Measure, # entires, # zeros, Min, Max, Mean, Median, Std, Mean/Median, Std/Mean, Skewness
1,3234,3,  0,  5,3.53278,  4,0.83,0.88,0.23,-0.30
3,3109,0,0.379018,39.7614,4.50785,3.71718,3.01,1.21,0.67,3.20
4,3142,39,  0,1.33441,0.267769,0.252222,0.13,1.06,0.49,1.33
5,3142,0,20577,152012,43169.1,41255.5,10900.73,1.05,0.25,1.81
6,3142,0,48.5794,1126.03,230.006,214.647,93.90,1.07,0.41,2.30
7,2823,0,4.44,46.55,14.5929,14.48,3.08,1.01,0.21,1.12
8,3126,0,0.0526635,74.6269,6.1885,4.33763,5.94,1.43,0.96,4.11
9,2908,0,0.467577,119.149,11.331,10.8525,4.21,1.04,0.37,7.79
10,3036,0,  8,1231.83,364.026,353.331,178.64,1.03,0.49,0.51
11,3138,63,  0,30.2115,2.59503,1.99399,2.30,1.30,0.88,4.45
12,3138,63,  0,5839.06,9.04898,0.873558,130.90,10.36,14.47,34.96
14,3219,4,  0,100,71.4467,75.2993,22.89,0.95,0.32,-0.65
15,3126,0,3.13192,133.022,11.1617,9.6298,7.55,1.16,0.68,7.86
16,3141,1,  0,89.5999,18.4121,16.4471,11.61,1.12,0.63,1.32
17,3141,0,0.0586897,48.7805,2.89748,2.08073,3.00,1.39,1.04,4.45
18,3141,1,  0,87.0904,21.1977,20.135,11.87,1.05,0.56,0.77
19,3143,0,2.54762,78.6602,17.7059,14.8539,10.54,1.19,0.60,1.80
20,2864,0,0.105789,100.143,3.67768,2.04876,5.97,1.80,1.62,7.15
21,3143,0,2002.55,17965.3,4806.67,4520.27,1152.67,1.06,0.24,3.69
22,3143,70,  0,69.5032,13.951,12.0039,10.00,1.16,0.72,1.00
23,3000,68,  0,3736.41,36.2784,13.9698,122.34,2.60,3.37,16.50
24,2977,0,4.38227,1186.37,126.278,107.753,84.65,1.17,0.67,3.08
25a,3045,0,24.1,83.8,60.7416,61.4,8.17,0.99,0.13,-0.42
25b,3089,0, 12,100,84.2606, 85,6.47,0.99,0.08,-3.12
26,3137,0,  3, 42,17.5722, 17,5.38,1.03,0.31,0.41
30,3137,2,  0,100,32.1062, 31,10.39,1.04,0.32,0.66
31,3143,0,3.12418,43.75,11.1205,11.0532,2.60,1.01,0.23,0.92
32,1454,0,0.102497,123.762,5.52124,3.05568,8.44,1.81,1.53,6.13
38,3143,0, 13, 69,23.0846, 22,8.38,1.05,0.36,2.89
42,3142,0,636.74,8009.97,4216.54,4277.9,1015.19,0.99,0.24,-0.17
43,2738,0, 49, 96,82.6888, 83,6.13,1.00,0.07,-0.77
44,3137,0,66.6,81.3,76.3225,76.5,2.00,1.00,0.03,-0.37
45,3214,12,  0,1077.58,35.8785,27.12,50.41,1.32,1.40,7.96
48,3143,0, 15, 76,45.1511, 44,10.38,1.03,0.23,0.24
49,3143,0,36.3067,100,86.7972,88.7191,9.44,0.98,0.11,-0.96
50a,2997,0,0.00561,84.624,4.45919,3.1271,3.95,1.43,0.89,4.31
50b,3003,0,0.00098,28.6733,2.01951,1.56446,1.79,1.29,0.88,3.58
51,3125,205,  0,76.93,7.70202,5.38,8.29,1.43,1.08,2.66
52,3125,211,  0,100,11.767,8.51,11.97,1.38,1.02,2.08
54,3080,1410,  0,100,9.16169,  1,17.08,9.16,1.86,2.71
55,3143,1,  0,52.4325,23.4277,23.3275,3.41,1.00,0.15,0.57
56,3143,1,  0,8.3,2.10181,1.9,0.88,1.11,0.42,1.26
57,3143,106,  0,46.0587,2.28576,1.11386,3.84,2.05,1.68,4.46
60,3143,0,3.1,32.4,15.446,15.1,4.42,1.02,0.29,0.59
63,3138,0,2.6,9.6,4.48553,4.4,0.71,1.02,0.16,1.09
64,3143,0,  1, 55,15.4465,14.1,6.91,1.10,0.45,0.88
65,3143,0,  8,76.8,40.0636,39.5,7.69,1.01,0.19,0.48
66,3142,0,3.1,50.1,16.7631,15.9,6.24,1.05,0.37,0.97
67,3137,0,0.9,27.7,7.25196,  7,2.65,1.04,0.37,0.90
68,3143,19,  0,68.4704,3.15458,2.5723,3.21,1.23,1.02,9.12
69,3143,3,  0,19.1482,6.46705,6.2346,2.69,1.04,0.42,0.64
73,3138,0,  5, 95,21.3263, 20,7.70,1.07,0.36,3.25
74,3128,0,3.1,192.5,51.5369,49.8,18.44,1.03,0.36,0.83
75,3128,0,0.0191667,3789.04,27.4527,10.1401,108.81,2.71,3.96,18.65
77,3142,380,-11,52572,316.978, 12,1836.49,26.41,5.79,15.16
78,3138,25,  0,81.5217,13.8851,12.6478,7.04,1.10,0.51,1.90
901,3143,0, 82,9.81860e+06,98232.8,25857,312901.20,3.80,3.19,14.35
902,3221,0,1.08706,110.263,8.876,5.56932,10.78,1.59,1.21,3.76
